Model,ROUGE-1,ROUGE-2,ROUGE-L,Score,Rank
t5-base,0.1819378068739771,0.070627307018661,0.145876090812261,0.3507280910195461,3
t5-small,0.1391514561351439,0.0683394255187568,0.1171319300550588,0.2889159562546358,4
t5-large,0.1184308797824742,0.0099067599067599,0.0957154959350149,0.0,5
facebook/bart-large-cnn,0.392488052886324,0.1525405330750509,0.2723053149265332,1.0,1
facebook/bart-large-xsum,0.2566194566521572,0.0712230563165437,0.1786886638547427,0.4577475592644261,2
