Model,ROUGE-1,ROUGE-2,ROUGE-L
t5-base,0.1819378068739771,0.07062730701866107,0.14587609081226102
t5-small,0.1391514561351439,0.06833942551875682,0.1171319300550588
t5-large,0.11843087978247428,0.009906759906759908,0.09571549593501497
facebook/bart-large-cnn,0.39248805288632405,0.15254053307505097,0.2723053149265332
facebook/bart-large-xsum,0.2566194566521572,0.07122305631654371,0.17868866385474277
